link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,images,reservations,menu,owner,about,user_reviews,emails,facebook,linkedin
https://www.google.com/maps/place/?q=place_id:10453218876690042117,Buffet Sabor do Sol,Buffet,"Av. Eng. Roberto Freire, 1234 - Capim Macio, Natal - RN, 59082-095",,,https://buffetsabordosol.com.br,+55 84 99999-0001,,184,4.7,-5.8801,-35.2011,10453218876690042117,Operacional,,https://www.google.com/maps/place/?q=place_id:10453218876690042117&reviews=1,https://lh5.googleusercontent.com/p/exemplo-1,America/Fortaleza,$$,,,,Buffet Sabor do Sol,,,contato@buffetsabordosol.com.br,https://www.facebook.com/buffetsabordosol,
https://www.google.com/maps/place/?q=place_id:11872340951226678431,Casa de Festas Pequeno Reino,Casa de festas infantis,"Av. Prudente de Morais, 4455 - Lagoa Nova, Natal - RN, 59056-200",segunda-feira: 09:00-18:00,,https://pequenoreinonatal.com.br,+55 84 99999-0002,,96,4.5,-5.8177,-35.2094,11872340951226678431,Operacional,,https://www.google.com/maps/place/?q=place_id:11872340951226678431&reviews=1,,America/Fortaleza,,,,,Pequeno Reino,,,festas@pequenoreinonatal.com.br;financeiro@pequenoreinonatal.com.br,,
https://www.google.com/maps/place/?q=place_id:12903447781120095563,Estúdio Luz de Dunas,Fotógrafo,"R. Mossoró, 780 - Petrópolis, Natal - RN, 59020-200",,,https://luzdedunas.com.br,+55 84 99999-0003,,51,4.9,-5.7905,-35.2028,12903447781120095563,Operacional,,https://www.google.com/maps/place/?q=place_id:12903447781120095563&reviews=1,,America/Fortaleza,,,,,Estúdio Luz de Dunas,,,ola@luzdedunas.com.br,,https://www.linkedin.com/company/luzdedunas
https://www.google.com/maps/place/?q=place_id:13664120037755884290,Salão Mirante do Forte,Salão de festas,"Av. Câmara Cascudo, 210 - Ribeira, Natal - RN, 59012-260",,,,+55 84 3999-9001,,233,4.2,-5.7741,-35.2049,13664120037755884290,Operacional,,https://www.google.com/maps/place/?q=place_id:13664120037755884290&reviews=1,,America/Fortaleza,,,,,Mirante do Forte,,,reservas@mirantedoforte.com.br,,
https://www.google.com/maps/place/?q=place_id:14220983355471106834,Espaço Verde Ponta Negra,Espaço para eventos,"Av. Eng. Roberto Freire, 8900 - Ponta Negra, Natal - RN, 59090-000",,,https://espacoverdepontanegra.com.br,+55 84 99999-0005,,,,-5.8836,-35.1725,14220983355471106834,Operacional,,https://www.google.com/maps/place/?q=place_id:14220983355471106834&reviews=1,,America/Fortaleza,,,,,Espaço Verde,,,,,
https://www.google.com/maps/place/?q=place_id:15330118826604477192,Pula-Pula Alegria Locações,Aluguel de brinquedos,"R. Serra do Mel, 45 - Neópolis, Natal - RN, 59088-100",,,,+55 84 99999-0006,,37,4.8,-5.8722,-35.2196,15330118826604477192,Operacional,,https://www.google.com/maps/place/?q=place_id:15330118826604477192&reviews=1,,America/Fortaleza,,,,,,,,alegria.locacoes@gmail.com,,
https://www.google.com/maps/place/?q=place_id:16091773450028866514,Confeitaria Dona Cotinha,Confeitaria,"Av. Amintas Barros, 3366 - Tirol, Natal - RN, 59022-050",,,https://donacotinha.com.br,+55 84 99999-0007,,412,4.6,-5.7986,-35.2114,16091773450028866514,Operacional,"Bolos, doces e salgados para festas",https://www.google.com/maps/place/?q=place_id:16091773450028866514&reviews=1,,America/Fortaleza,,,,,Dona Cotinha,,,bolos@donacotinha.com.br,,
https://www.google.com/maps/place/?q=place_id:17548902217763310048,Flores do Potengi,Floricultura,"R. Apodi, 155 - Tirol, Natal - RN, 59020-120",,,,+55 84 99999-0008,,78,4.3,-5.7931,-35.2087,17548902217763310048,Operacional,,https://www.google.com/maps/place/?q=place_id:17548902217763310048&reviews=1,,America/Fortaleza,,,,,,,,floresdopotengi@outlook.com,,
https://www.google.com/maps/place/?q=place_id:18660334498012275561,DJ Marcinho Lima,DJ,"Av. Rio Branco, 512 - Cidade Alta, Natal - RN, 59025-003",,,https://djmarcinholima.com.br,+55 84 99999-0009,,64,5.0,-5.7822,-35.2083,18660334498012275561,Operacional,,https://www.google.com/maps/place/?q=place_id:18660334498012275561&reviews=1,,America/Fortaleza,,,,,,,,contato arroba djmarcinholima,,
https://www.google.com/maps/place/?q=place_id:19077215530884461209,Tendas Coqueiral,Locação de tendas,"Rodovia BR-101, Km 12, Parnamirim - RN, 59146-000",,,,+55 84 99999-0010,,19,4.1,-5.9142,-35.2626,19077215530884461209,Operacional,,https://www.google.com/maps/place/?q=place_id:19077215530884461209&reviews=1,,America/Fortaleza,,,,,,,,comercial@tendascoqueiral.com.br,,
