nome*;tipo*;categoria*;whatsapp*;origem*;origem_detalhe;cidade;bairro;instagram;etapa*;responsavel*;ultimo_contato*;canal_ultimo_contato;resultado*;proxima_acao*;data_proxima_acao;observacoes
Marileide Maison Buffet;fornecedor;Buffet adulto / corporativo;(84) 3217-7012;TeleListas;;Natal;Candelária;;Prospectado;Heloísa;2026-09-04;WhatsApp (Heloísa · Komune);Não respondeu;Follow-up D+3 pelo app;2026-09-07;
Safari Buffet;fornecedor;Buffet adulto / corporativo;(84) 3206-4212;TeleListas;;Natal;Lagoa Nova;;Contatado;Bárbara;2026-09-05;Ligação;Respondeu — interessado;Ligar de novo;2026-09-08;
Mousse Buffet;fornecedor;Buffet adulto / corporativo;(84) 3206-8428;TeleListas;;Natal;;;Respondeu;Rafael;2026-09-06;Instagram DM;Respondeu — me chama depois;Mandar material;2026-09-09;
Sabor de Festa;fornecedor;Buffet adulto / corporativo;(84) 3222-1382;TeleListas;;Natal;;;Em conversa;Heloísa;2026-09-07;Visita;Não estava / fechado;Marcar apresentação;2026-09-10;
Ed Buffet;fornecedor;Buffet adulto / corporativo;(84) 99866-8333;TeleListas;;Natal;;;Prospectado;Bárbara;2026-09-08;WhatsApp (Heloísa · Komune);Falei com funcionário — deixei material;Follow-up D+3 pelo app;2026-09-11;
Buffet Marcelino Junior;fornecedor;Buffet adulto / corporativo;(84) 98819-3005;TeleListas;;Natal;;;Contatado;Rafael;2026-09-04;Ligação;Não respondeu;Ligar de novo;2026-09-07;
Eliana Festas & Eventos;fornecedor;Buffet adulto / corporativo;(84) 3208-2348;TeleListas;;Natal;Nova Parnamirim;;Respondeu;Heloísa;2026-09-05;Instagram DM;Respondeu — interessado;Mandar material;2026-09-08;
Alug-Equipamentos para Eventos;fornecedor;Audiovisual/LED, geradores, banheiros químicos;(84) 9418-2000;Casamentos.com.br;;Natal;;;Em conversa;Bárbara;2026-09-06;Visita;Respondeu — me chama depois;Marcar apresentação;2026-09-09;
Multi Tendas Locações;fornecedor;Tendas, estruturas, palcos;;Instagram;;Natal;;@multitendas;Prospectado;Rafael;2026-09-07;WhatsApp (Heloísa · Komune);Não estava / fechado;Follow-up D+3 pelo app;2026-09-10;
Vivier Recepções;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 3207-3283;TeleListas;;Natal;Candelária;;Contatado;Heloísa;2026-09-08;Ligação;Falei com funcionário — deixei material;Ligar de novo;2026-09-11;
Imperial Recepções;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 3231-5196;TeleListas;;Natal;Lagoa Nova;;Respondeu;Bárbara;2026-09-04;Instagram DM;Não respondeu;Mandar material;2026-09-07;
Gerbera Recepções;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 3206-1574;TeleListas;;Natal;Lagoa Nova;;Em conversa;Rafael;2026-09-05;Visita;Respondeu — interessado;Marcar apresentação;2026-09-08;
Paradise Recepções;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 99981-4661;TeleListas;;Natal;Potengi;;Prospectado;Heloísa;2026-09-06;WhatsApp (Heloísa · Komune);Respondeu — me chama depois;Follow-up D+3 pelo app;2026-09-09;
Vagalume Festas;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 3301-7072;TeleListas;;Natal;Lagoa Nova;;Contatado;Bárbara;2026-09-07;Ligação;Não estava / fechado;Ligar de novo;2026-09-10;
Dreams Recepções;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 99642-3545;Solutudo;;Natal;Tirol;;Respondeu;Rafael;2026-09-08;Instagram DM;Falei com funcionário — deixei material;Mandar material;2026-09-11;
Lumiere Recepções;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 3214-2907;Solutudo;;Natal;Igapó;;Em conversa;Heloísa;2026-09-04;Visita;Não respondeu;Marcar apresentação;2026-09-07;
Atrevida Espaço para Festas;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 99984-3997;Solutudo;;Natal;Lagoa Nova;;Prospectado;Bárbara;2026-09-05;WhatsApp (Heloísa · Komune);Respondeu — interessado;Follow-up D+3 pelo app;2026-09-08;
Espaço Flor de Bali;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 99408-3341;Solutudo;;Natal;Petrópolis;;Contatado;Rafael;2026-09-06;Ligação;Respondeu — me chama depois;Ligar de novo;2026-09-09;
3652 Natal;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 98896-3020;Organizando Eventos;;Natal;;;Respondeu;Heloísa;2026-09-07;Instagram DM;Não estava / fechado;Mandar material;2026-09-10;
Estação Ponta Negra Eventos;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 99614-4048;Organizando Eventos;;Natal;Ponta Negra;;Em conversa;Bárbara;2026-09-08;Visita;Falei com funcionário — deixei material;Marcar apresentação;2026-09-11;
San Valle Eventos;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 3207-3550;Organizando Eventos;;Natal;;;Prospectado;Rafael;2026-09-04;WhatsApp (Heloísa · Komune);Não respondeu;Follow-up D+3 pelo app;2026-09-07;
Rios Recepções;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 98875-5575;Casamentos.com.br;;Natal;Potengi;;Contatado;Heloísa;2026-09-05;Ligação;Respondeu — interessado;Ligar de novo;2026-09-08;
Grupo Eden Recepções;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 3217-6010;Casamentos.com.br;;Natal;Candelária;;Respondeu;Bárbara;2026-09-06;Instagram DM;Respondeu — me chama depois;Mandar material;2026-09-09;
Victoria Gimenes;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 98833-2880;Casamentos.com.br;;Natal;Pajuçara;;Em conversa;Rafael;2026-09-07;Visita;Não estava / fechado;Marcar apresentação;2026-09-10;
Aliança Recepções;espaço;Locais (salões, chácaras, hotéis, restaurantes, praia);(84) 98737-4901;Casamentos.com.br;;Natal;Neópolis;;Prospectado;Heloísa;2026-09-08;WhatsApp (Heloísa · Komune);Falei com funcionário — deixei material;Follow-up D+3 pelo app;2026-09-11;
Pinote Kids Animadores;fornecedor;Recreadores e animadores;(84) 98891-1013;Organizando Eventos;;Natal;;;Contatado;Bárbara;2026-09-04;Ligação;Não respondeu;Ligar de novo;2026-09-07;
Divirta Kids;fornecedor;Recreadores e animadores;(84) 9952-3077;Organizando Eventos;;Natal;;;Respondeu;Rafael;2026-09-05;Instagram DM;Respondeu — interessado;Mandar material;2026-09-08;
Objetivo Eventos;fornecedor;Recreadores e animadores;(84) 99943-2767;Organizando Eventos;;Natal;;;Em conversa;Heloísa;2026-09-06;Visita;Respondeu — me chama depois;Marcar apresentação;2026-09-09;
Ateliê Melana;fornecedor;Recreadores e animadores;(84) 99989-1313;Organizando Eventos;;Natal;;;Prospectado;Bárbara;2026-09-07;WhatsApp (Heloísa · Komune);Não estava / fechado;Follow-up D+3 pelo app;2026-09-10;
Best Story Formaturas;produtor;Empresas de formatura;(84) 99944-9374;TeleListas;;Natal;;;Respondeu;Rafael;2026-09-08;Ligação;Falei com funcionário — deixei material;Ligar de novo;2026-09-11;
Gideon Formaturas e Eventos;produtor;Empresas de formatura;(84) 3213-5400;Organizando Eventos;;Natal;Village dos Mares;;Identificado;Heloísa;2026-09-04;Instagram DM;Não respondeu;Mandar material;2026-09-07;
Ativa Cerimoniais;cerimonialista;Cerimonialistas / assessorias;(84) 3231-0998;TeleListas;;Natal;Candelária;;Contatado;Bárbara;2026-09-05;Visita;Respondeu — interessado;Marcar apresentação;2026-09-08;
Haydée Cerimonial & Eventos;cerimonialista;Cerimonialistas / assessorias;(84) 3222-9773;TeleListas;;Natal;Barro Vermelho;;Respondeu;Rafael;2026-09-06;WhatsApp (Heloísa · Komune);Respondeu — me chama depois;Follow-up D+3 pelo app;2026-09-09;
Plano Cerimonial & Eventos;cerimonialista;Cerimonialistas / assessorias;(84) 3234-5963;Casamentos.com.br;;Natal;Candelária;;Identificado;Heloísa;2026-09-07;Ligação;Não estava / fechado;Ligar de novo;2026-09-10;
Accord Cerimonial e Eventos;cerimonialista;Cerimonialistas / assessorias;(84) 99102-2340;Organizando Eventos;;Natal;Cidade Satélite;;Contatado;Bárbara;2026-09-08;Instagram DM;Falei com funcionário — deixei material;Mandar material;2026-09-11;
Celebrations Cerimonial e Eventos;cerimonialista;Cerimonialistas / assessorias;(84) 3219-0532;TeleListas;;Natal;Capim Macio;;Respondeu;Rafael;2026-09-04;Visita;Não respondeu;Marcar apresentação;2026-09-07;
Cerimonial Haryne Azevedo;cerimonialista;Cerimonialistas / assessorias;(84) 99951-5701;TeleListas;;Natal;;;Identificado;Heloísa;2026-09-05;WhatsApp (Heloísa · Komune);Respondeu — interessado;Follow-up D+3 pelo app;2026-09-08;
Elite Eventos;cerimonialista;Cerimonialistas / assessorias;(84) 98787-9285;TeleListas;;Natal;;;Contatado;Bárbara;2026-09-06;Ligação;Respondeu — me chama depois;Ligar de novo;2026-09-09;
MKM Eventos;cerimonialista;Cerimonialistas / assessorias;(84) 3222-0202;TeleListas;;Natal;Ponta Negra;;Respondeu;Rafael;2026-09-07;Instagram DM;Não estava / fechado;Mandar material;2026-09-10;
Cerimoniais.com e Assessoria de Eventos;cerimonialista;Cerimonialistas / assessorias;(84) 3206-2015;Solutudo;;Natal;Capim Macio;;Identificado;Heloísa;2026-09-08;Visita;Falei com funcionário — deixei material;Marcar apresentação;2026-09-11;
HC Assessoria & Eventos;cerimonialista;Cerimonialistas / assessorias;(84) 99894-3984;Solutudo;;Natal;Tirol;;Contatado;Bárbara;2026-09-04;WhatsApp (Heloísa · Komune);Não respondeu;Follow-up D+3 pelo app;2026-09-07;
Casei Marketing e Eventos;produtor;Produtoras corporativas/shows e organizadores recorrentes;(84) 3204-6500;Solutudo;;Natal;Lagoa Nova;;Respondeu;Rafael;2026-09-05;Ligação;Respondeu — interessado;Ligar de novo;2026-09-08;
LM Produções e Serviços;produtor;Produtoras corporativas/shows e organizadores recorrentes;(84) 3223-2192;Solutudo;;Natal;Bom Pastor;;Identificado;Heloísa;2026-09-06;Instagram DM;Respondeu — me chama depois;Mandar material;2026-09-09;
Agência Rocas;produtor;Produtoras corporativas/shows e organizadores recorrentes;(84) 3222-1198;Solutudo;;Natal;Rocas;;Contatado;Bárbara;2026-09-07;Visita;Não estava / fechado;Marcar apresentação;2026-09-10;
